Project Name,Ecological Site ID,Plot ID,Plot Key,Latitude_NAD83,Longitude_NAD83,Date Established,Date Visited,Bare Soil Pct,Foliar Cover Pct,Gap Cover 25 to 50 Pct,Gap Cover 51 to 100 Pct,Gap Cover 101 to 200 Pct,Gap Cover 200 Plus Pct,Gap Cover 25 Plus Pct,Sagebrush Cover Pct Any Hit,Average Woody Height cm,Average Herbaceous Height cm,Average NonSagebrush Shrub Height cm,Soil Stability All,Soil Stability Protected,Soil Stability Unprotected,Noxious Perennial Forb Cover Pct Any Hit,Noxious Annual Forb Cover Pct Any Hit,Noxious Perennial Grass Cover Pct Any Hit,Noxious Annual Grass Cover Pct Any Hit,Noxious Annual Forb Grass Cover Pct Any Hit,Noxious Perennial Forb Grass Cover Pct Any Hit,Noxious Succulent Cover Pct Any Hit,Noxious Shrub Cover Pct Any Hit,Noxious SubShrub Cover Pct Any Hit,Noxious Tree Cover Pct Any Hit,Number Noxious Plant Species,NonNoxious Perennial Forb Cover Pct Any Hit,NonNoxious Annual Forb Cover Pct Any Hit,NonNoxious Perennial Grass Cover Pct Any Hit,NonNoxious Annual Grass Cover Pct Any Hit,NonNoxious Annual Forb Grass Cover Pct Any Hit,NonNoxious Perennial Forb Grass Cover Pct Any Hit,NonNoxious Succulent Cover Pct Any Hit,NonNoxious Shrub Cover Pct Any Hit,NonNoxious SubShrub Cover Pct Any Hit,NonNoxious Tree Cover Pct Any Hit,Average NonNoxious Perennial Grass Height cm,Average Noxious Perennial Grass Height cm,DateLoadedInDb,Primary Key,Number NonNoxious Plant Species,Average Perennial Grass Height cm,Noxious Perennial Grass Cover Pct First Hit,Noxious Shrub Cover Pct First Hit,Total Litter Cover Pct First Hit,Noxious SubShrub Cover Pct First Hit,Noxious Succulent Cover Pct First Hit,Noxious Tree Cover Pct First Hit,Vagrant Lichen Cover Pct First Hit,Embedded Litter Cover Pct First Hit,Rock Cover Pct First Hit,Woody Litter Cover Pct First Hit,NonNoxious Annual Grass Cover Pct First Hit,NonNoxious Tree Cover Pct First Hit,Cyanobacteria Cover Pct First Hit,NonNoxious SubShrub Cover Pct First Hit,Water Cover Pct First Hit,Herbaceous Litter Cover Pct First Hit,NonNoxious Perennial Forb Cover Pct First Hit,Deposited Soil Cover Pct First Hit,NonNoxious Perennial Grass Cover Pct First Hit,Noxious Annual Forb Cover Pct First Hit,NonNoxious Annual Forb Cover Pct First Hit,Lichen Cover Pct First Hit,NonNoxious Shrub Cover Pct First Hit,Sagebrush Cover Pct First Hit,Noxious Perennial Forb Cover Pct First Hit,Noxious Annual Grass Cover Pct First Hit,NonNoxious Succulent Cover Pct First Hit,RH Rills,RH Water Flow Patterns,RH Bare Ground,RH Gullies,RH Wind Scoured Areas,RH Litter Movement,RH Soil Surface Resistance Erosion,RH Soil Surface Loss Degradation,RH Compaction,RH Functional Structure Group,RH Dead Dying Plant Parts,RH Litter Amount,RH Annual Production,RH Invasive Plants,RH Reproductive Capability Perennial,RH Comments Soil Site Stability,RH Comments Hydrologic Function,RH Comments Biotic Integrity,NonNoxious Plant Cover Pct Any Hit,Ecological Site Name,County,State,Sagebrush Cover Live Pct Any Hit,Average Sagebrush Live Height cm,Average Sagebrush Height cm,Sagebrush Shape Live Columnar Count,Sagebrush Shape Live Spread Count,Sagebrush Shape All Column Count,Sagebrush Shape All Spread Count,Sagebrush Shape Live Predominant,Sagebrush Shape All Predominant,Perennial Grass Cover Pct Any Hit,Perennial Forb Cover Pct Any Hit,AH_PerenForbGrassCover,Average Perennial Grass Forb Height cm,Average Perennial Forb Height cm,Shrub Cover Pct Any Hit,NonSagebrush Shrub Cover Pct Any Hit,Preferred Forb Species,Preferred Forb Cover Pct Any Hit,Number Preferred Forb Species,Annual Grass Cover Pct Any Hit,Grass Cover Pct Any Hit,Forb Cover Pct Any Hit,Tall Perennial Grass Cover Pct Any Hit,Short Perennial Grass Cover Pct Any Hit,Tall Perennial Grass Species,Short Perennial Grass Species,Average Tall Perennial Grass Height cm,Average Short Perennial Grass Height cm,Average Grass Height cm,Average Forb Height cm,Sagebrush Species,Noxious Cover Pct Any Hit,Noxious Species,Moss Cover Pct First Hit,Duff Cover Pct First Hit,DBKey,RH Pedestals Terracettes,RH Plant Community Composition,RH Biotic Integrity,RH Hydrologic Function,RH Soil Site Stability,AH_WoodyLitterCover,AH_HerbLitterCover,AH_TotalLitterCover,Purpose,PurposeFlag,Design,DesignFlag,Hgt_Shrub_Avg,x,y
New Mexico RGdNNM 2014,R051XA005NM,Swale - 102,1.41E+15,36.78302403,-105.8636051,9/2/2014,9/2/2014,23.33333333,56.66666667,11.85333333,16.49333333,10.73333333,10.62666667,49.70666667,30,45.64705882,23.86956522,,3.38888889,3.8,1.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,30.66666667,0,0,30.66666667,0,30.66666667,3.33333333,0,23.86956522,,9/1/2014,14090310375014222014-09-01,14,23.86956522,0,0,12.66666667,0,0,0,0,0,7.33333333,6.66666667,0,0,0,2.66666667,0,6,0,0,23.33333333,0,0,0,30.66666667,30,0,0,0,M,SM,NS,M,NS,NS,NS,NS,NS,NS,SM,NS,NS,SM,NS,good soil stability and site stability,rills and gullies but good infiltration and movement,"some invasion and ARTR2 mortality, good community distirbution",56.66666667,,Taos,NM,22.66666667,47.625,47.625,,,,,,,30.66666667,0,30.66666667,23.86956522,,30.66666667,0.66666667,,0,0,0,30.66666667,0,2,27.33333333,HOJU; ELEL5,BOGR2; MUTO2,,24.28571429,23.86956522,,ARTR2,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,NS,NS,SM,SM,NS,,,,Planning,Land Use Plan Effectiveness,Random,Revisit Base Plot,47.625,-11784683.73,4408906.96
New Mexico RGdNNM 2014,R051XA005NM,Swale - 105,1.41E+15,36.79165603,-105.8573531,9/2/2014,9/2/2014,37.33333333,54.66666667,2.94666667,14.24,24.82666667,9.61333333,51.62666667,53.33333333,74.05,15,,1.33333333,1.42857143,1,0,0,0,0,0,0,0,0,0,0,0,0,2.66666667,1.33333333,0,2.66666667,1.33333333,0,53.33333333,0,0,19,,9/1/2014,14090313521964662014-09-01,9,19,0,0,6.66666667,0,0,0,0,0,1.33333333,5.33333333,0,0,0,0,0,1.33333333,0,0,0.66666667,0,0.66666667,0,53.33333333,53.33333333,0,0,0,NS,SM,SM,NS,NS,M,M,NS,NS,M,SM,NS,NS,M,SM,low soil and site stability,lots of pooling low inflitration,mostly sage communities low c3/c4 grasses low plant diversity,54.66666667,,Taos,NM,48,74.05,74.05,,,,,,,1.33333333,0,1.33333333,19,,53.33333333,0,,0,0,0,1.33333333,2.66666667,0,0.66666667,,BOGR2,,32,19,10,ARTR2,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,SM,M,M,M,M,,,,Planning,Land Use Plan Effectiveness,Random,Revisit Base Plot,74.05,-11783987.76,4410106.802
New Mexico RGdNNM 2014,R036XA004NM,Gravelly Slopes - 34,1.41E+15,36.57837105,-105.7061881,7/1/2014,7/1/2014,28.66666667,52,10.88,26.28,14.52,9.26666667,60.94666667,18.66666667,29.66666667,16.03846154,,1.77777778,1.66666667,2.33333333,0,0,0,0,0,0,0,0,0,0,1,0,11.33333333,29.33333333,0,11.33333333,29.33333333,0,18.66666667,2,0,13,,9/1/2014,14070213253214082014-09-01,18,13,0,0,10,0,0,0,0,0,9.33333333,4.66666667,0,0,0,2,0,5.33333333,0,0,23.33333333,0,10,0,16.66666667,16.66666667,0,0,0,NS,NS,NS,NS,NS,NS,SM,NS,NS,NS,SM,NS,NS,SM,SM,Some pedestaling and lower surface soil stability than expected.,Most site hydrologic function normal.,"ARTR2 mortality is 25-40% on site and high invasives such as DEPI, GUSA2 and LAOC3",52,,Taos,NM,11.33333333,34.14285714,34.14285714,,,,,,,29.33333333,0,29.33333333,13,,18.66666667,0,,0,0,0,29.33333333,11.33333333,13.33333333,15.33333333,PLJA; ELEL5,BOGR2; MUTO2,18.75,9.91666667,13,21.77777778,ARTR2,0,SIAL2,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,SM,NS,SM,NS,SM,,,,Planning,Land Use Plan Effectiveness,Random,Revisit Base Plot,34.14285714,-11767160.14,4380499.79
New Mexico RGdNNM 2014, UNKNOWN,PSME QUGA - 12,1.41E+15,36.76056904,-105.8995381,7/23/2014,7/23/2014,28,53.33333333,14.32,18.62666667,9.69333333,0,42.64,22.66666667,37.05,13.72,,3.27777778,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,33.33333333,0.66666667,22.66666667,4.66666667,0,12.95833333,,9/1/2014,14072410454180802014-09-01,13,12.95833333,0,0,8,0,0,0,0,0,10,4,0,0,0.66666667,4,0,4,0,0,26.66666667,0,0,0,22.66666667,22.66666667,0,0,0,,,,,,,,,,,,,,,,Overally soil and site stability healthy,Hydrologic function is good over site minimal pedestaling observed, Overall plant communities healthy however up to 25% ARTR2 mortality observed.,53.33333333,,Taos,NM,16.66666667,45.28571429,45.28571429,,,,,,,33.33333333,0,33.33333333,12.95833333,,22.66666667,0,,0,0,0,33.33333333,0,4.66666667,30,ELEL5,BOGR2; MUTO2,22.625,8.125,12.95833333,32,ARTR2,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,,,,,,,,,Planning,Land Use Plan Effectiveness,Random,Revisit Base Plot,45.28571429,-11788683.77,4405786.364
New Mexico RGdNNM 2014,F048AY015NM,Mendius - 09,1.41E+15,36.70473305,-105.9254751,7/2/2014,7/2/2014,12.66666667,63.33333333,1.02666667,0.68,1.94666667,35.62666667,39.28,0,593.3809524,28,90,4.27777778,5.07692308,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333,0,0,1.33333333,0,6.66666667,0,56.66666667,15.66666667,,9/1/2014,14070309530024822014-09-01,17,15.66666667,0,0,19.33333333,0,0,0,0,0,4.66666667,7.33333333,0,56.66666667,0,0,0,12,0,0,1.33333333,0,0,0,5.33333333,0,0,0,0,,,,,,,,,,,,,,,,,,,63.33333333,,Taos,NM,0,,,,,,,,,1.33333333,0,1.33333333,15.66666667,,6.66666667,6.66666667,,0,0,0,1.33333333,0,1.33333333,0,KOMA; ELEL5; HECO26; SPCR; FETH; PLJA,BOGR2,15.66666667,,15.66666667,65,,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,,,,,,,,,Fuels,Treatment Effectiveness,Targeted,Randomly located but targeted sampling date,90,-11791571.06,4398030.73
New Mexico RGdNNM 2014,R036XA004NM,Gravelly Slopes - 35,1.41E+15,36.55371906,-105.7110301,7/6/2014,7/6/2014,42.66666667,38,12.34666667,16.66666667,30.6,2.8,62.41333333,22,34.16666667,20.05882353,,1.72222222,1.76923077,1.6,0,0,0,0,0,0,0,0,0,0,0,0,2.66666667,11.33333333,0,2.66666667,11.33333333,0,22,2.66666667,0,17.71428571,,9/1/2014,14070709325347222014-09-01,14,17.71428571,0,0,13.33333333,0,0,0,0,0,6,4.66666667,0,0,0,2.66666667,0,8.66666667,0,0,10.66666667,0,2.66666667,0,22,22,0,0,0,M,M,SM,M,NS,NS,NS,NS,NS,NS,SM,NS,NS,SM,NS,"Surface stability is good but some erosion and pedestaling due to water movement, rills and gullies.","Lots of water movement on site, rills, gully formation and pedestaling.",biotic integrity and plant communities normal distribution and healthy.,38,,Taos,NM,22,40.38461538,40.38461538,,,,,,,11.33333333,0,11.33333333,17.71428571,,22,0,,0,0,0,11.33333333,2.66666667,2.66666667,8.66666667,PLJA; ACHY; ELEL5,BOGR2; MUTO2,33.75,11.3,17.71428571,31,ARTR2,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,SM,NS,NS,SM,SM,,,,Planning,Land Use Plan Effectiveness,Random,Revisit Base Plot,40.38461538,-11767699.15,4377083.022
New Mexico RGdNNM 2014,R036XA004NM,Gravelly Slopes - 33,1.41E+15,36.54583406,-105.7174501,7/6/2014,7/6/2014,9.33333333,81.33333333,3.65333333,14.26666667,1.57333333,6.49333333,25.98666667,37.33333333,66.33333333,31.23076923,,3,2.8125,4.5,0,0,0,0,0,0,0,0,0,0,0,0,9.33333333,54.66666667,0,9.33333333,54.66666667,0,37.33333333,3.33333333,0,30.25,,9/1/2014,14070713180527932014-09-01,11,30.25,0,0,9.33333333,0,0,0,0,0,0,2,0,0,0,2.66666667,0,7.33333333,0,0,33.33333333,0,8,0,37.33333333,37.33333333,0,0,0,NS,M,ME,NS,NS,NS,NS,NS,NS,NS,M,ME,NS,SM,NS,sandy soil movement in wate flow areas,"Water moves down and settles near center of plot which sits at bottom of converging hills, high wate table.","Due to high water table and human activity in area high invasives of both grasses, DEPI, and LAOC3",81.33333333,,Taos,NM,32.66666667,67.77272727,67.77272727,,,,,,,54.66666667,0,54.66666667,30.25,,37.33333333,0,,0,0,0,54.66666667,9.33333333,12.66666667,22,ELEL5; PLJA,BOGR2,32.71428571,23,30.25,34.5,ARTR2,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,NS,NS,M,SM,SM,,,,Planning,Land Use Plan Effectiveness,Random,Revisit Base Plot,67.77272727,-11768413.82,4375990.39
New Mexico RGdNNM 2014,F048AY015NM,Cerro Montoso - 15,1.41E+15,36.69963804,-105.7527201,6/15/2014,6/15/2014,11.33333333,14.66666667,2.52,9.70666667,5.46666667,36.65333333,54.34666667,0,906.75,27.75,,3.61111111,3.125,4,0,0,0,0,0,0,0,0,0,0,0,0,0.66666667,12.66666667,0,0.66666667,12.66666667,0.66666667,0,0,0.66666667,27.75,,9/1/2014,14061610361458482014-09-01,12,27.75,0,0,64,0,0,0,0,0,10,27.33333333,0,0.66666667,0,0,0,36.66666667,0,0,12,0,0.66666667,0,0,0,0,0,0.66666667,,,,,,,,,,,,,,,,,,,14.66666667,,Taos,NM,0,,,,,,,,,12.66666667,0,12.66666667,27.75,,0,0,,0,0,0,12.66666667,0.66666667,4.66666667,8,ACHY; ELEL5; KOMA,BOGR2,30.84615385,14.33333333,27.75,,ARTR2,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,,,,,,,,,Fuels,Treatment Effectiveness,Targeted,Randomly located but targeted sampling date,,-11772340.06,4397323.314
New Mexico RGdNNM 2014,R036XB007NM,No Agua - 01,1.41E+15,36.726451,-105.964098,6/16/2014,6/16/2014,30,45.33333333,12.14666667,21.96,6.85333333,0,40.96,6.66666667,16.72,10.89655172,26,2.44444444,2.9,1.875,0,0.66666667,0,0,0.66666667,0,0,0,0,0,1,0.66666667,0.66666667,32,0,0.66666667,32,0,2.66666667,12.66666667,1.33333333,10.89655172,,9/1/2014,14061710003068302014-09-01,18,10.89655172,0,0,4,0,0,0,0,0,17.33333333,0.66666667,0,1.33333333,0,12.66666667,0,3.33333333,0,0,27.33333333,0.66666667,0.66666667,3.33333333,2.66666667,6.66666667,0,0,0,NS,NS,SM,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,Soil is stable as well as site.  Erosion is normal for site.,Water has good infiltration grasses are high.,Really healthy plant communites grasses shrubs and forbs.,44.66666667,,Taos,NM,6.66666667,15.46153846,15.46153846,,,,,,,32,0.66666667,32,10.89655172,,2.66666667,2.66666667,,0,0,0,32,2,6.66666667,26.66666667,ELEL5,BOGR2,19.23076923,4.125,10.89655172,,ARFR4; ARTR2,0.66666667,SATR12,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,NS,NS,NS,NS,NS,,,,Fuels,Treatment Effectiveness,Targeted,Randomly located but targeted sampling date,24,-11795870.55,4401046.688
New Mexico RGdNNM 2014,F048AY015NM,PJ Quercus - 28,1.41E+15,36.69607105,-105.9061911,6/17/2014,6/17/2014,16,22,1.8,9.74666667,16.68,38.69333333,66.92,0.66666667,218.625,19.15789474,,2.94444444,3.83333333,1.16666667,0,0,0,0,0,0,0,0,0,0,0,0.66666667,0.66666667,12.66666667,0,0.66666667,13.33333333,0,0.66666667,0,7.33333333,21,,9/1/2014,14061806555324002014-09-01,14,21,0,0,55.33333333,0,0,0,0,0,6.66666667,20.66666667,0,7.33333333,0,0,0,34.66666667,0.66666667,0,12.66666667,0,0.66666667,0,0.66666667,0.66666667,0,0,0,,,,,,,,,,,,,,,,,,,22,,Taos,NM,0.66666667,,,,,,,,,12.66666667,0.66666667,13.33333333,19,3,0.66666667,0,,0,0,0,12.66666667,1.33333333,2.66666667,6.66666667,ACHY; HECO26; ELEL5; KOMA,BOGR2; BLTR,27.66666667,11.2,21,9.33333333,ARTR2,0,,0,0,NM_TaosFO_LUP_2014_5-3b_01.mdb,,,,,,,,,Planning,Land Use Plan Effectiveness,Random,Revisit Base Plot,,-11789424.38,4396828.081
