Noxious_Perennial_Grass_Cover_Pct_Any_Hit,Noxious_Annual_Grass_Cover_Pct_Any_Hit,Grass_Cover_Pct_Any_Hit,Average_Grass_Height_cm,Grass_Cover_PCT_Any_Hit_Minus_Noixious,Z-Score Grass Cover,Z-Score Grass Hgt,,,,,
0,0,30.66666667,23.86956522,30.66666667,0.17,0.31,,,,,
0,0,1.33333333,19,1.33333333,-1.54,-0.30,,,,Z-Score Grass Cover,"z = (x-?)/?, where x is the raw score, "
0,0,33.33333333,12.95833333,33.33333333,0.33,-1.06,,,,,"? is the population mean, "
0,0,1.33333333,15.66666667,1.33333333,-1.54,-0.72,,,,? =average(,? is the population standard deviation.
0,0,12.66666667,27.75,12.66666667,-0.88,0.80,,,,27.67867892,
0,0,32,10.89655172,32,0.25,-1.32,,,,17.13304946,
0,0,44,20.20689655,44,0.95,-0.15,,,,Z-Score Grass Hgt,
0,0,48.66666667,24.85714286,48.66666667,1.23,0.44,,,,?,
0,0,2.66666667,20,2.66666667,-1.46,-0.17,,,,21.3851375,
0,0,40.66666667,19.96296296,40.66666667,0.76,-0.18,,,,7.917626233,
0,0,22.66666667,12.6,22.66666667,-0.29,-1.11,,,,,
0,0,7.33333333,21.66666667,7.33333333,-1.19,0.04,,,,,
0,0,12,14.30434783,12,-0.92,-0.89,,,,Grass Cover,Grass Cover + Grass Height = total z score?
0,0,46.66666667,12.84615385,46.66666667,1.11,-1.08,,,Grass Height ,,
0,0,18.66666667,7.15789474,18.66666667,-0.53,-1.80,,,,,
0,0,21.33333333,18.15,21.33333333,-0.37,-0.41,,,,,
0,0,12.66666667,15.38888889,12.66666667,-0.88,-0.76,,,,,
0,0,9.33333333,24.22222222,9.33333333,-1.07,0.36,,,,,
0,0,27.33333333,23.96153846,27.33333333,-0.02,0.33,,,,,
0,0,23.33333333,11.51851852,23.33333333,-0.25,-1.25,,,,,
0,0,5.33333333,23.8,5.33333333,-1.30,0.30,,,,,
0,0,4.66666667,19.71428571,4.66666667,-1.34,-0.21,,,,,
0,0,24.66666667,16.3,24.66666667,-0.18,-0.64,,,,,
0,0,30.66666667,12.24,30.66666667,0.17,-1.16,,,,,
0,0,34.66666667,12.66666667,34.66666667,0.41,-1.10,,,,,
0,0,75.33333333,23.08695652,75.33333333,2.78,0.21,,,,,
0,0,53.125,24.82758621,53.125,1.49,0.43,,,,,
0,0,24,11.65217391,24,-0.21,-1.23,,,,,
0,0,41.33333333,34.85,41.33333333,0.80,1.70,,,,,
0,0,40,27.75862069,40,0.72,0.80,,,,,
0,0,36,21.46153846,36,0.49,0.01,,,,,
0,0,41.33333333,8.12,41.33333333,0.80,-1.68,,,,,
0,0,32.66666667,17.5862069,32.66666667,0.29,-0.48,,,,,
0,0,34,32.08,34,0.37,1.35,,,,,
0,0,10,13.7,10,-1.03,-0.97,,,,,
0,0,12.66666667,19,12.66666667,-0.88,-0.30,,,,,
0,0,21.33333333,15.56,21.33333333,-0.37,-0.74,,,,,
0,0,40,12.93103448,40,0.72,-1.07,,,,,
0,0,12.66666667,19.8125,12.66666667,-0.88,-0.20,,,,,
0,0,20.66666667,26.9375,20.66666667,-0.41,0.70,,,,,
0,0,8.66666667,25.44444444,8.66666667,-1.11,0.51,,,,,
0,0,2.66666667,21.625,2.66666667,-1.46,0.03,,,,,
0,0,16,22.60714286,16,-0.68,0.15,,,,,
0,0,13.33333333,26.8125,13.33333333,-0.84,0.69,,,,,
0,0,19.33333333,20.22727273,19.33333333,-0.49,-0.15,,,,,
0,0,51.33333333,26.96551724,51.33333333,1.38,0.70,,,,,
0,0,55.33333333,25.03333333,55.33333333,1.61,0.46,,,,,
0,0,30,24.78571429,30,0.14,0.43,,,,,
0,0,72,29.9,72,2.59,1.08,,,,,
0,0,5.33333333,15.81818182,5.33333333,-1.30,-0.70,,,,,
0,0,48.66666667,22.51724138,48.66666667,1.23,0.14,,,,,
0,0,20,18.60869565,20,-0.45,-0.35,,,,,
0,0,51.33333333,34.27777778,51.33333333,1.38,1.63,,,,,
0,0,2.66666667,13.5,2.66666667,-1.46,-1.00,,,,,
0,0,7.33333333,32.14285714,7.33333333,-1.19,1.36,,,,,
0,0,30,22.54166667,30,0.14,0.15,,,,,
0,0,39.33333333,30.96296296,39.33333333,0.68,1.21,,,,,
0,0,16,30.21052632,16,-0.68,1.11,,,,,
0,0,32,32.5,32,0.25,1.40,,,,,
0,0,30,23.03571429,30,0.14,0.21,,,,,
0,0,46.66666667,41.23076923,46.66666667,1.11,2.51,,,,,
0,0,14,12.71428571,14,-0.80,-1.10,,,,,
0,0,23.33333333,17.73076923,23.33333333,-0.25,-0.46,,,,,
0,0,18.66666667,36,18.66666667,-0.53,1.85,,,,,
0,0,61.33333333,32.23333333,61.33333333,1.96,1.37,,,,,
0,0,9.33333333,27.15384615,9.33333333,-1.07,0.73,,,,,
0,0,18,22.0952381,18,-0.56,0.09,,,,,
0,0,32,36.04545455,32,0.25,1.85,,,,,
0,0,74.66666667,37.93333333,74.66666667,2.74,2.09,,,,,
0,0,56,32.73333333,56,1.65,1.43,,,,,
0,0,38,21.26086957,38,0.60,-0.02,,,,,
0,0,5.33333333,30,5.33333333,-1.30,1.09,,,,,
0,0,38,26.6,38,0.60,0.66,,,,,
0,0,38.66666667,29.46428571,38.66666667,0.64,1.02,,,,,
0,0,69.33333333,32.25,69.33333333,2.43,1.37,,,,,
0,0,25.33333333,28.75862069,25.33333333,-0.14,0.93,,,,,
0,0,5.33333333,11.66666667,5.33333333,-1.30,-1.23,,,,,
0,0,6.66666667,26,6.66666667,-1.23,0.58,,,,,
0,0,14.66666667,21.53333333,14.66666667,-0.76,0.02,,,,,
0,0,42,13.37931034,42,0.84,-1.01,,,,,
0,0,23.33333333,24.45,23.33333333,-0.25,0.39,,,,,
0,0,19.33333333,16.20833333,19.33333333,-0.49,-0.65,,,,,
0,0,18,21,18,-0.56,-0.05,,,,,
0,0,50.66666667,22.16666667,50.66666667,1.34,0.10,,,,,
0,0,43.33333333,18.8,43.33333333,0.91,-0.33,,,,,
0,0,21.33333333,10.85714286,21.33333333,-0.37,-1.33,,,,,
0,0,34,45.08333333,34,0.37,2.99,,,,,
,,,,,-1.62,-2.70,,,,,
0,0,6.66666667,21.7,6.66666667,-1.23,0.04,,,,,
0,0,30,19.86956522,30,0.14,-0.19,,,,,
0,0,84.66666667,40.34482759,84.66666667,3.33,2.39,,,,,
0,0,7.33333333,23.5,7.33333333,-1.19,0.27,,,,,
0,0,58,26,58,1.77,0.58,,,,,
0,0,39.33333333,29.21428571,39.33333333,0.68,0.99,,,,,
0,0,34,21.64285714,34,0.37,0.03,,,,,
0,0,18,20.25,18,-0.56,-0.14,,,,,
0,0,18,13.77272727,18,-0.56,-0.96,,,,,
0,0,21.33333333,9.65217391,21.33333333,-0.37,-1.48,,,,,
0,0,25.33333333,14.54545455,25.33333333,-0.14,-0.86,,,,,
0,0,30,21.20689655,30,0.14,-0.02,,,,,
0,0,12.66666667,13.58823529,12.66666667,-0.88,-0.98,,,,,
0,0,42.66666667,16.78571429,42.66666667,0.87,-0.58,,,,,
0,0,47.33333333,27.19230769,47.33333333,1.15,0.73,,,,,
0,0,10,30.33333333,10,-1.03,1.13,,,,,
0,0,42.66666667,23.37931034,42.66666667,0.87,0.25,,,,,
0,0,40.66666667,19.36666667,40.66666667,0.76,-0.25,,,,,
0,0,17.33333333,15.13043478,17.33333333,-0.60,-0.79,,,,,
0,0,7.33333333,13,7.33333333,-1.19,-1.06,,,,,
0,0,42,36.44,42,0.84,1.90,,,,,
0,0,57.33333333,19.03571429,57.33333333,1.73,-0.30,,,,,
0,0,36.66666667,15.64,36.66666667,0.52,-0.73,,,,,
0,0,54.66666667,17.96666667,54.66666667,1.58,-0.43,,,,,
0,0,10.66666667,20.2,10.66666667,-0.99,-0.15,,,,,
0,0,6.66666667,14.13333333,6.66666667,-1.23,-0.92,,,,,
0,0,34.66666667,20.21428571,34.66666667,0.41,-0.15,,,,,
0,0,34,16.03571429,34,0.37,-0.68,,,,,
0,0,20,19.11764706,20,-0.45,-0.29,,,,,
0,0,24.66666667,18.76190476,24.66666667,-0.18,-0.33,,,,,
