Noxious_Perennial_Grass_Cover_Pct_Any_Hit,Noxious_Annual_Grass_Cover_Pct_Any_Hit,Grass_Cover_Pct_Any_Hit,Average_Grass_Height_cm,Grass_Cover_PCT_Any_Hit_Minus_Noixious,Z_cover,Z_hgt,Total,Quantile,x,y,,
0,0,30.66666667,23.86956522,30.66666667,0.17,0.31,0.48,good,-11784683.73,4408906.96,,
0,0,1.33333333,19,1.33333333,-1.54,-0.3,-1.84,poor,-11783987.76,4410106.802,Z-Score Grass Cover,"z = (x-?)/?, where x is the raw score, "
0,0,33.33333333,12.95833333,33.33333333,0.33,-1.06,-0.73,present,-11788683.77,4405786.364,,"? is the population mean, "
0,0,1.33333333,15.66666667,1.33333333,-1.54,-0.72,-2.26,poor,-11791571.06,4398030.73,? =average(,? is the population standard deviation.
0,0,12.66666667,27.75,12.66666667,-0.88,0.8,-0.08,present,-11772340.06,4397323.314,27.67867892,
0,0,32,10.89655172,32,0.25,-1.32,-1.07,poor,-11795870.55,4401046.688,17.13304946,
0,0,44,20.20689655,44,0.95,-0.15,0.8,good,-11781592.94,4400361.022,Z-Score Grass Hgt,
0,0,48.66666667,24.85714286,48.66666667,1.23,0.44,1.67,good,-11771848.92,4409191.062,?,
0,0,2.66666667,20,2.66666667,-1.46,-0.17,-1.63,poor,-11780528.5,4412968.649,21.3851375,
0,0,40.66666667,19.96296296,40.66666667,0.76,-0.18,0.58,good,-11790854.72,4423777.2,7.917626233,
0,0,22.66666667,12.6,22.66666667,-0.29,-1.11,-1.4,poor,-11790014.93,4429286.492,,
0,0,7.33333333,21.66666667,7.33333333,-1.19,0.04,-1.15,poor,-11769390.43,4411487.927,,
0,0,12,14.30434783,12,-0.92,-0.89,-1.81,poor,-11788274.45,4406998.64,Grass Cover,Grass Cover + Grass Height = total z score?
0,0,46.66666667,12.84615385,46.66666667,1.11,-1.08,0.03,present,-11788395.45,4406255.194,,
0,0,18.66666667,7.15789474,18.66666667,-0.53,-1.8,-2.33,poor,-11794714.84,4402097.164,,
0,0,21.33333333,18.15,21.33333333,-0.37,-0.41,-0.78,present,-11791336.29,4430424.989,,
0,0,12.66666667,15.38888889,12.66666667,-0.88,-0.76,-1.64,poor,-11790778.8,4398822.342,,
0,0,9.33333333,24.22222222,9.33333333,-1.07,0.36,-0.71,present,-11790250.03,4398283.856,,
0,0,27.33333333,23.96153846,27.33333333,-0.02,0.33,0.31,present,-11767045.26,4424730.667,,
0,0,23.33333333,11.51851852,23.33333333,-0.25,-1.25,-1.5,poor,-11789631.99,4405763.437,,
0,0,5.33333333,23.8,5.33333333,-1.3,0.3,-1,poor,-11791005.67,4398066.553,,
0,0,4.66666667,19.71428571,4.66666667,-1.34,-0.21,-1.55,poor,-11790808.3,4397102.56,,
0,0,24.66666667,16.3,24.66666667,-0.18,-0.64,-0.82,present,-11803788.71,4413696.989,,
0,0,30.66666667,12.24,30.66666667,0.17,-1.16,-0.99,poor,-11798934.07,4411425.367,,
0,0,34.66666667,12.66666667,34.66666667,0.41,-1.1,-0.69,present,-11766518.05,4414512.572,,
0,0,75.33333333,23.08695652,75.33333333,2.78,0.21,2.99,good,-11766362.87,4414173.955,,
0,0,53.125,24.82758621,53.125,1.49,0.43,1.92,good,-11781970.31,4406038.145,,
0,0,24,11.65217391,24,-0.21,-1.23,-1.44,poor,-11776300.25,4418635.526,,
0,0,41.33333333,34.85,41.33333333,0.8,1.7,2.5,good,-11781082.09,4405843.611,,
0,0,40,27.75862069,40,0.72,0.8,1.52,good,-11766360.09,4401940.9,,
0,0,36,21.46153846,36,0.49,0.01,0.5,good,-11767093.58,4405962.138,,
0,0,41.33333333,8.12,41.33333333,0.8,-1.68,-0.88,poor,-11788573,4405616.151,,
0,0,32.66666667,17.5862069,32.66666667,0.29,-0.48,-0.19,present,-11774434.65,4412340.603,,
