Township,Segment_id,Sage,Year,Freq
T29R11,29-11-01-S,present,1881,1
T29R11,29-11-01-S,absent,2019,1
T29R09,29-11-01-S,present,1881,1
T29R09,29-11-01-S,present,2019,1
T29R11,29-11-01-W,present,1881,1
T29R11,29-11-01-W,present,2019,1
T29R09,29-11-01-W,present,1881,1
T29R09,29-11-01-W,present,2019,1
T29R11,29-11-02-S,present,1881,1
T29R11,29-11-02-S,present,2019,1
T29R09,29-11-02-S,present,1881,1
T29R09,29-11-02-S,present,2019,1
T29R11,29-11-02-W,absent,1881,1
T29R11,29-11-02-W,present,2019,1
T29R09,29-11-02-W,absent,1881,1
T29R09,29-11-02-W,present,2019,1
T29R11,29-11-03-S,absent,1881,1
T29R11,29-11-03-S,present,2019,1
T29R09,29-11-03-S,absent,1881,1
T29R09,29-11-03-S,present,2019,1
T29R11,29-11-03-W,absent,1881,1
T29R11,29-11-03-W,present,2019,1
T29R09,29-11-03-W,absent,1881,1
T29R09,29-11-03-W,present,2019,1
T29R11,29-11-04-S,absent,1881,1
T29R11,29-11-04-S,present,2019,1
T29R09,29-11-04-S,absent,1881,1
T29R09,29-11-04-S,present,2019,1
T29R11,29-11-04-W,absent,1881,1
T29R11,29-11-04-W,absent,2019,1
T29R09,29-11-04-W,absent,1881,1
T29R09,29-11-04-W,absent,2019,1
T29R11,29-11-05-S,absent,1881,1
T29R11,29-11-05-S,absent,2019,1
T29R09,29-11-05-S,absent,1881,1
T29R09,29-11-05-S,absent,2019,1
T29R11,29-11-05-W,absent,1881,1
T29R11,29-11-05-W,absent,2019,1
T29R09,29-11-05-W,absent,1881,1
T29R09,29-11-05-W,absent,2019,1
T29R11,29-11-06-S,absent,1881,1
T29R11,29-11-06-S,absent,2019,1
T29R09,29-11-06-S,absent,1881,1
T29R09,29-11-06-S,absent,2019,1
T29R11,29-11-06-W,absent,1881,1
T29R11,29-11-06-W,present,2019,1
T29R09,29-11-06-W,absent,1881,1
T29R09,29-11-06-W,present,2019,1
T29R11,29-11-07-S,absent,1881,1
T29R11,29-11-07-S,absent,2019,1
T29R09,29-11-07-S,absent,1881,1
T29R09,29-11-07-S,absent,2019,1
T29R11,29-11-07-W,absent,1881,1
T29R11,29-11-07-W,absent,2019,1
T29R09,29-11-07-W,absent,1881,1
T29R09,29-11-07-W,absent,2019,1
T29R11,29-11-08-S,absent,1881,1
T29R11,29-11-08-S,present,2019,1
T29R09,29-11-08-S,absent,1881,1
T29R09,29-11-08-S,present,2019,1
T29R11,29-11-08-W,absent,1881,1
T29R11,29-11-08-W,absent,2019,1
T29R09,29-11-08-W,absent,1881,1
T29R09,29-11-08-W,absent,2019,1
T29R11,29-11-09-S,absent,1881,1
T29R11,29-11-09-S,absent,2019,1
T29R09,29-11-09-S,absent,1881,1
T29R09,29-11-09-S,absent,2019,1
T29R11,29-11-09-W,absent,1881,1
T29R11,29-11-09-W,absent,2019,1
T29R09,29-11-09-W,absent,1881,1
T29R09,29-11-09-W,absent,2019,1
T29R11,29-11-10-S,absent,1881,1
T29R11,29-11-10-S,absent,2019,1
T29R09,29-11-10-S,absent,1881,1
T29R09,29-11-10-S,absent,2019,1
T29R11,29-11-10-W,absent,1881,1
T29R11,29-11-10-W,present,2019,1
T29R09,29-11-10-W,absent,1881,1
T29R09,29-11-10-W,present,2019,1
T29R11,29-11-11-S,present,1881,1
T29R11,29-11-11-S,present,2019,1
T29R09,29-11-11-S,present,1881,1
T29R09,29-11-11-S,present,2019,1
T29R11,29-11-11-W,present,1881,1
T29R11,29-11-11-W,present,2019,1
T29R09,29-11-11-W,present,1881,1
T29R09,29-11-11-W,present,2019,1
T29R11,29-11-12-S,absent,1881,1
T29R11,29-11-12-S,present,2019,1
T29R09,29-11-12-S,absent,1881,1
T29R09,29-11-12-S,present,2019,1
T29R11,29-11-12-W,present,1881,1
T29R11,29-11-12-W,present,2019,1
T29R09,29-11-12-W,present,1881,1
T29R09,29-11-12-W,present,2019,1
T29R11,29-11-13-S,absent,1881,1
T29R11,29-11-13-S,absent,2019,1
T29R09,29-11-13-S,absent,1881,1
T29R09,29-11-13-S,absent,2019,1
T29R11,29-11-13-W,absent,1881,1
T29R11,29-11-13-W,present,2019,1
T29R09,29-11-13-W,absent,1881,1
T29R09,29-11-13-W,present,2019,1
T29R11,29-11-14-S,present,1881,1
T29R11,29-11-14-S,present,2019,1
T29R09,29-11-14-S,present,1881,1
T29R09,29-11-14-S,present,2019,1
T29R11,29-11-14-W,absent,1881,1
T29R11,29-11-14-W,absent,2019,1
T29R09,29-11-14-W,absent,1881,1
T29R09,29-11-14-W,absent,2019,1
T29R11,29-11-15-S,absent,1881,1
T29R11,29-11-15-S,absent,2019,1
T29R09,29-11-15-S,absent,1881,1
T29R09,29-11-15-S,absent,2019,1
T29R11,29-11-15-W,absent,1881,1
T29R11,29-11-15-W,absent,2019,1
T29R09,29-11-15-W,absent,1881,1
T29R09,29-11-15-W,absent,2019,1
T29R11,29-11-16-S,absent,1881,1
T29R11,29-11-16-S,absent,2019,1
T29R09,29-11-16-S,absent,1881,1
T29R09,29-11-16-S,absent,2019,1
T29R11,29-11-16-W,absent,1881,1
T29R11,29-11-16-W,present,2019,1
T29R09,29-11-16-W,absent,1881,1
T29R09,29-11-16-W,present,2019,1
T29R11,29-11-17-S,absent,1881,1
