,POINT_X,POINT_Y,field_sage,landfire_sage
1,421959.9512,4069784.782,present,present
2,421959.9512,4069784.782,present,present
3,421909.9526,4069785.15,present,present
4,421859.9539,4069785.519,present,present
5,421809.9553,4069785.887,present,present
6,421759.9566,4069786.255,present,present
7,421709.958,4069786.623,present,present
8,421659.9593,4069786.992,present,present
9,421609.9607,4069787.36,present,present
10,421559.962,4069787.728,present,present
11,421509.9634,4069788.096,present,present
12,421459.9648,4069788.464,present,present
13,421409.9661,4069788.833,present,present
14,421359.9675,4069789.201,present,present
15,421309.9688,4069789.569,present,present
16,421259.9702,4069789.937,present,present
17,421209.9715,4069790.306,present,present
18,421159.9729,4069790.674,present,present
19,421109.9743,4069791.042,present,present
20,421059.9756,4069791.41,present,present
21,421009.977,4069791.779,present,present
22,420959.9783,4069792.147,present,present
23,420909.9797,4069792.515,present,present
24,420859.981,4069792.883,present,present
25,420809.9824,4069793.252,present,present
26,420759.9837,4069793.62,present,present
27,420709.9851,4069793.988,present,present
28,420659.9865,4069794.356,present,present
29,420609.9878,4069794.725,present,present
30,420559.9892,4069795.093,present,present
31,420509.9905,4069795.461,present,present
32,420459.9919,4069795.829,present,present
33,420409.9932,4069796.198,present,present
34,420359.9946,4069796.566,present,present
35,420340.4551,4069796.71,present,present
36,434829.1757,4068080.651,present,present
37,434829.7158,4068130.648,present,present
38,434830.2559,4068180.645,present,present
39,434830.796,4068230.642,present,present
40,434831.3362,4068280.639,present,present
41,434831.8763,4068330.636,present,present
44,434833.4966,4068480.628,present,present
45,434834.0367,4068530.625,present,present
46,434834.5769,4068580.622,present,present
47,434835.117,4068630.619,present,present
48,434835.6571,4068680.616,present,present
49,434836.1972,4068730.613,present,present
50,434836.7373,4068780.61,present,present
51,434837.2774,4068830.607,present,present
52,434837.8176,4068880.604,present,present
53,434838.3577,4068930.601,present,present
54,434838.8978,4068980.598,present,present
55,434839.4379,4069030.596,present,present
56,434839.978,4069080.593,present,present
57,434840.5181,4069130.59,present,present
58,434841.0583,4069180.587,present,present
59,434841.5984,4069230.584,present,present
60,434842.1385,4069280.581,present,present
61,434842.6786,4069330.578,present,present
62,434843.2187,4069380.575,present,present
63,434843.7588,4069430.572,present,present
64,434844.299,4069480.569,present,present
65,434844.8391,4069530.566,present,present
66,434845.3792,4069580.563,present,present
67,434845.9193,4069630.561,present,present
68,434846.4594,4069680.558,present,present
69,434846.7372,4069706.27,present,present
71,434821.527,4066376.403,present,present
72,434820.8602,4066326.407,present,present
75,434818.8599,4066176.42,present,present
76,434818.1931,4066126.425,present,present
77,434817.5263,4066076.429,present,present
78,434816.8595,4066026.434,present,present
79,434816.1927,4065976.438,present,present
80,434815.5259,4065926.443,present,present
81,434814.8592,4065876.447,present,present
82,434814.1924,4065826.452,present,present
83,434813.5256,4065776.456,present,present
84,434812.8588,4065726.46,present,present
85,434812.192,4065676.465,present,present
86,434811.5252,4065626.469,present,present
87,434810.8585,4065576.474,present,present
88,434810.1917,4065526.478,present,present
89,434809.5249,4065476.483,present,present
90,434808.8581,4065426.487,present,present
91,434808.1913,4065376.492,present,present
92,434807.5245,4065326.496,present,present
93,434806.8577,4065276.5,present,present
94,434806.191,4065226.505,present,present
95,434805.5242,4065176.509,present,present
96,434804.8574,4065126.514,present,present
97,434804.1906,4065076.518,present,present
98,434803.5238,4065026.523,present,present
99,434802.857,4064976.527,present,present
100,434802.1902,4064926.532,present,present
101,434801.5235,4064876.536,present,present
102,434800.8567,4064826.54,present,present
103,434800.6874,4064813.849,present,present
104,434786.8736,4063197.436,present,present
105,434836.866,4063198.31,present,present
106,434886.8583,4063199.184,present,present
107,434936.8507,4063200.058,present,present
108,434986.8431,4063200.931,present,present
109,435036.8354,4063201.805,present,present
110,435086.8278,4063202.679,present,present
112,435186.8125,4063204.426,present,present
113,435236.8049,4063205.3,present,present
114,435286.7972,4063206.174,present,present
115,435336.7896,4063207.048,present,present
116,435386.782,4063207.921,present,present
117,435436.7743,4063208.795,present,present
118,435486.7667,4063209.669,present,present
119,435536.7591,4063210.543,present,present
120,435586.7514,4063211.417,present,present
121,435636.7438,4063212.29,present,present
122,435686.7362,4063213.164,present,present
123,435736.7285,4063214.038,present,present
124,435786.7209,4063214.912,present,present
125,435836.7133,4063215.785,present,present
126,435886.7056,4063216.659,present,present
127,435936.698,4063217.533,present,present
128,435986.6904,4063218.407,present,present
129,436036.6827,4063219.28,present,present
130,436086.6751,4063220.154,present,present
131,436136.6674,4063221.028,present,present
132,436186.6598,4063221.902,present,present
133,436236.6522,4063222.776,present,present
134,436286.6445,4063223.649,present,present
135,436336.6369,4063224.523,present,present
136,436386.6293,4063225.397,present,present
137,436412.7153,4063225.853,present,present
138,423467.7288,4061724.81,present,present
139,423517.728,4061724.52,present,present
140,423567.7271,4061724.229,present,present
141,423617.7263,4061723.938,present,present
142,423667.7254,4061723.648,present,present
143,423717.7246,4061723.357,present,present
144,423767.7237,4061723.067,present,present
145,423817.7229,4061722.776,present,present
146,423867.722,4061722.485,present,present
147,423917.7212,4061722.195,present,present
148,423967.7204,4061721.904,present,present
149,424017.7195,4061721.613,present,present
150,424067.7187,4061721.323,present,present
151,424117.7178,4061721.032,present,present
152,424167.717,4061720.741,present,present
153,424217.7161,4061720.451,present,present
154,424267.7153,4061720.16,present,present
155,424317.7144,4061719.869,present,present
156,424367.7136,4061719.579,present,present
157,424417.7127,4061719.288,present,present
158,424467.7119,4061718.997,present,present
159,424517.7111,4061718.707,present,present
160,424567.7102,4061718.416,present,present
161,424617.7094,4061718.125,present,present
162,424667.7085,4061717.835,present,present
163,424717.7077,4061717.544,present,present
164,424767.7068,4061717.253,present,present
165,424817.706,4061716.963,present,present
166,424867.7051,4061716.672,present,present
167,424917.7043,4061716.381,present,present
168,424967.7035,4061716.091,present,present
169,425017.7026,4061715.8,present,present
170,425067.7018,4061715.509,present,present
171,425085.4255,4061715.406,present,present
324,426853.5105,4075414.594,present,present
329,426852.8329,4075164.595,present,present
336,426851.8843,4074814.596,present,present
337,426851.7488,4074764.597,present,present
42,434832.4164,4068380.633,present,absent
43,434832.9565,4068430.631,present,absent
70,434822.1938,4066426.398,present,absent
73,434820.1934,4066276.411,present,absent
74,434819.5267,4066226.416,present,absent
111,435136.8202,4063203.553,present,absent
279,430019.761,4073257.508,present,absent
286,430033.18,4073607.25,present,absent
288,430037.014,4073707.177,present,absent
292,430044.6821,4073907.03,present,absent
297,430054.2671,4074156.846,present,absent
301,430061.9351,4074356.699,present,absent
304,430067.6861,4074506.589,present,absent
305,430069.6031,4074556.552,present,absent
318,426854.3236,4075714.593,present,absent
325,426853.375,4075364.594,present,absent
328,426852.9685,4075214.595,present,absent
331,426852.5619,4075064.596,present,absent
173,431757.2298,4084352.4,absent,present
174,431758.3575,4084402.388,absent,present
175,431759.4851,4084452.375,absent,present
176,431760.6128,4084502.362,absent,present
177,431761.7404,4084552.35,absent,present
209,430219.0234,4081073.533,absent,present
210,430269.0233,4081073.431,absent,present
215,430519.0228,4081072.925,absent,present
217,430619.0226,4081072.723,absent,present
220,430769.0223,4081072.419,absent,present
223,430919.022,4081072.115,absent,present
224,430969.0219,4081072.014,absent,present
225,431019.0218,4081071.913,absent,present
230,431269.0212,4081071.406,absent,present
231,431319.0211,4081071.305,absent,present
232,431369.021,4081071.204,absent,present
233,431419.0209,4081071.103,absent,present
236,431569.0206,4081070.799,absent,present
238,431669.0204,4081070.596,absent,present
239,431683.529,4081070.567,absent,present
260,414044.6416,4089865.022,absent,present
263,414047.1962,4089715.044,absent,present
319,426854.1881,4075664.593,absent,present
320,426854.0526,4075614.594,absent,present
347,415603.9195,4082555.707,absent,present
172,431756.1022,4084302.413,absent,absent
178,431762.8681,4084602.337,absent,absent
179,431763.9957,4084652.324,absent,absent
180,431765.1233,4084702.311,absent,absent
181,431766.251,4084752.299,absent,absent
182,431767.3786,4084802.286,absent,absent
183,431768.5063,4084852.273,absent,absent
184,431769.6339,4084902.261,absent,absent
185,431770.7616,4084952.248,absent,absent
186,431771.8892,4085002.235,absent,absent
187,431773.0168,4085052.222,absent,absent
188,431774.1445,4085102.21,absent,absent
189,431775.2721,4085152.197,absent,absent
190,431776.3998,4085202.184,absent,absent
191,431777.5274,4085252.172,absent,absent
192,431778.6551,4085302.159,absent,absent
193,431779.7827,4085352.146,absent,absent
194,431780.9103,4085402.133,absent,absent
195,431782.038,4085452.121,absent,absent
196,431783.1656,4085502.108,absent,absent
197,431784.2933,4085552.095,absent,absent
198,431785.4209,4085602.082,absent,absent
199,431786.5486,4085652.07,absent,absent
200,431787.6762,4085702.057,absent,absent
201,431788.8038,4085752.044,absent,absent
202,431789.9315,4085802.032,absent,absent
203,431791.0591,4085852.019,absent,absent
204,431792.1868,4085902.006,absent,absent
205,431792.4308,4085912.824,absent,absent
206,430069.0237,4081073.836,absent,absent
207,430119.0236,4081073.735,absent,absent
208,430169.0235,4081073.634,absent,absent
211,430319.0232,4081073.33,absent,absent
212,430369.0231,4081073.229,absent,absent
213,430419.023,4081073.128,absent,absent
214,430469.0229,4081073.026,absent,absent
216,430569.0227,4081072.824,absent,absent
218,430669.0225,4081072.621,absent,absent
219,430719.0224,4081072.52,absent,absent
221,430819.0222,4081072.318,absent,absent
222,430869.0221,4081072.216,absent,absent
226,431069.0216,4081071.811,absent,absent
227,431119.0215,4081071.71,absent,absent
228,431169.0214,4081071.609,absent,absent
229,431219.0213,4081071.508,absent,absent
234,431469.0208,4081071.001,absent,absent
235,431519.0207,4081070.9,absent,absent
237,431619.0205,4081070.698,absent,absent
240,414027.611,4090864.877,absent,absent
241,414028.4625,4090814.884,absent,absent
242,414029.3141,4090764.892,absent,absent
243,414030.1656,4090714.899,absent,absent
244,414031.0171,4090664.906,absent,absent
245,414031.8687,4090614.913,absent,absent
246,414032.7202,4090564.921,absent,absent
247,414033.5717,4090514.928,absent,absent
248,414034.4232,4090464.935,absent,absent
249,414035.2748,4090414.942,absent,absent
250,414036.1263,4090364.95,absent,absent
251,414036.9778,4090314.957,absent,absent
252,414037.8294,4090264.964,absent,absent
253,414038.6809,4090214.971,absent,absent
254,414039.5324,4090164.979,absent,absent
255,414040.384,4090114.986,absent,absent
256,414041.2355,4090064.993,absent,absent
257,414042.087,4090015,absent,absent
258,414042.9386,4089965.008,absent,absent
259,414043.7901,4089915.015,absent,absent
261,414045.4932,4089815.029,absent,absent
262,414046.3447,4089765.037,absent,absent
264,414048.0477,4089665.051,absent,absent
265,414048.8993,4089615.058,absent,absent
266,414049.7508,4089565.066,absent,absent
267,414050.6023,4089515.073,absent,absent
268,414051.4539,4089465.08,absent,absent
269,414052.3054,4089415.087,absent,absent
270,414053.1569,4089365.095,absent,absent
271,414054.0085,4089315.102,absent,absent
272,414054.86,4089265.109,absent,absent
273,414055.2019,4089245.036,absent,absent
308,426855.6788,4076214.591,absent,absent
309,426855.5433,4076164.592,absent,absent
310,426855.4078,4076114.592,absent,absent
311,426855.2722,4076064.592,absent,absent
312,426855.1367,4076014.592,absent,absent
313,426855.0012,4075964.592,absent,absent
314,426854.8657,4075914.592,absent,absent
315,426854.7302,4075864.593,absent,absent
316,426854.5947,4075814.593,absent,absent
317,426854.4591,4075764.593,absent,absent
321,426853.9171,4075564.594,absent,absent
322,426853.7816,4075514.594,absent,absent
323,426853.646,4075464.594,absent,absent
