Township,Section Line,Grass
T29R09,29-09-01-S,good
T29R09,29-09-01-W,good
T29R09,29-09-02-S,present
T29R09,29-09-02-W,present
T29R09,29-09-03-S,good
T29R09,29-09-03-W,present
T29R09,29-09-04-W,good
T29R09,29-09-10-S,present
T29R09,29-09-10-W,present
T29R09,29-09-11-S,present
T29R09,29-09-11-W,present
T29R09,29-09-12-S,good
T29R09,29-09-12-W,good
T29R09,29-09-13-S,good
T29R09,29-09-13-W,good
T29R09,29-09-14-S,good
T29R09,29-09-14-W,poor
T29R09,29-09-15-S,good
T29R09,29-09-22-S,present
T29R09,29-09-23-S,present
T29R09,29-09-23-W,good
T29R09,29-09-24-S,absent
T29R09,29-09-24-W,good
T29R09,29-09-25-S,present
T29R09,29-09-25-W,present
T29R09,29-09-26-S,good
T29R09,29-09-26-W,present
T29R09,29-09-27-S,present
T29R09,29-09-34-S,present
T29R09,29-09-35-S,present
T29R09,29-09-35-W,good
T29R09,29-09-36-S,present
T29R09,29-09-36-W,present
T29R10,29-10-01-S,poor
T29R10,29-10-01-W,present
T29R10,29-10-02-S,present
T29R10,29-10-02-W,present
T29R10,29-10-03-S,present
T29R10,29-10-03-W,present
T29R10,29-10-04-S,present
T29R10,29-10-04-W,present
T29R10,29-10-05-S,present
T29R10,29-10-05-W,present
T29R10,29-10-06-S,present
T29R10,29-10-07-S,present
T29R10,29-10-07-W,present
T29R10,29-10-08-S,present
T29R10,29-10-09-S,present
T29R10,29-10-09-W,poor
T29R10,29-10-10-S,present
T29R10,29-10-10-W,poor
T29R10,29-10-11-S,absent
T29R10,29-10-11-W,present
T29R10,29-10-12-S,absent
T29R10,29-10-12-W,present
T29R10,29-10-13-S,absent
T29R10,29-10-13-W,present
T29R10,29-10-14-S,present
T29R10,29-10-14-W,absent
T29R10,29-10-15-S,absent
T29R10,29-10-15-W,absent
T29R10,29-10-16-S,absent
T29R10,29-10-16-W,present
T29R10,29-10-17-S,good
T29R10,29-10-17-W,present
T29R10,29-10-18-S,present
T29R10,29-10-18-W,present
T29R10,29-10-19-S,absent
T29R10,29-10-19-W,absent
T29R10,29-10-20-S,absent
T29R10,29-10-20-W,good
T29R10,29-10-21-S,absent
T29R10,29-10-21-W,absent
T29R10,29-10-22-S,present
T29R10,29-10-22-W,present
T29R10,29-10-23-S,present
T29R10,29-10-23-W,present
T29R10,29-10-24-S,absent
T29R10,29-10-24-W,present
T29R10,29-10-25-S,poor
T29R10,29-10-25-W,present
T29R10,29-10-26-S,present
T29R10,29-10-26-W,present
T29R10,29-10-27-S,poor
T29R10,29-10-27-W,poor
T29R10,29-10-28-S,absent
T29R10,29-10-28-W,absent
T29R10,29-10-29-S,absent
T29R10,29-10-29-W,absent
T29R10,29-10-30-S,absent
T29R10,29-10-30-W,absent
T29R10,29-10-31-S,good
T29R10,29-10-31-W,present
T29R10,29-10-32-S,absent
T29R10,29-10-32-W,absent
T29R10,29-10-33-S,absent
T29R10,29-10-33-W,present
T29R10,29-10-34-S,absent
T29R10,29-10-34-W,absent
T29R10,29-10-35-S,good
T29R10,29-10-35-W,present
T29R10,29-10-36-S,good
T29R10,29-10-36-W,poor
T29R10,29-10-6-W,present
T29R10,29-10-7-W,present
T29R11,29-11-01-S,present
T29R11,29-11-01-W,good
T29R11,29-11-02-S,present
T29R11,29-11-02-W,present
T29R11,29-11-03-S,present
T29R11,29-11-03-W,present
T29R11,29-11-04-S,good
T29R11,29-11-04-W,present
T29R11,29-11-05-S,present
T29R11,29-11-05-W,present
T29R11,29-11-06-S,present
T29R11,29-11-06-W,poor
T29R11,29-11-07-S,present
T29R11,29-11-07-W,poor
T29R11,29-11-08-S,present
T29R11,29-11-08-W,present
T29R11,29-11-09-S,good
T29R11,29-11-09-W,good
T29R11,29-11-10-S,present
T29R11,29-11-10-W,good
T29R11,29-11-11-S,good
T29R11,29-11-11-W,present
T29R11,29-11-12-S,poor
T29R11,29-11-12-W,present
T29R11,29-11-13-S,poor
T29R11,29-11-13-W,poor
T29R11,29-11-14-S,present
T29R11,29-11-14-W,present
T29R11,29-11-15-S,present
T29R11,29-11-15-W,present
T29R11,29-11-16-S,present
T29R11,29-11-16-W,good
T29R11,29-11-17-S,present
T29R11,29-11-17-W,good
T29R11,29-11-18-S,present
T29R11,29-11-18-W,poor
